6, 2, 7, 10, 8, 3, 9, 1, 4, 5
1, 2, 5, 6, 7, 3, 4, 10, 8, 9
7, 6, 8, 2, 9, 5, 4, 1, 3, 10
8, 7, 10, 9, 5, 4, 3, 2, 6, 1
6, 1, 10, 9, 3, 4, 8, 2, 5, 7
10, 7, 3, 1, 6, 9, 5, 2, 4, 8
1, 5, 6, 7, 8, 3, 4, 10, 2, 9
7, 3, 9, 2, 4, 5, 8, 1, 6, 10
6, 10, 9, 4, 7, 8, 1, 2, 5, 3
8, 4, 6, 2, 5, 10, 3, 9, 1, 7
1, 3, 10, 5, 7, 9, 4, 6, 2, 8
8, 6, 3, 1, 5, 10, 7, 2, 9, 4
5, 8, 4, 7, 3, 9, 2, 1, 6, 10
3, 1, 4, 6, 9, 8, 2, 10, 5, 7
6, 10, 5, 4, 9, 8, 1, 7, 2, 3
2, 8, 5, 10, 9, 3, 6, 7, 4, 1
2, 6, 5, 3, 4, 10, 1, 7, 8, 9
5, 8, 3, 7, 1, 4, 9, 2, 10, 6
4, 1, 10, 2, 8, 5, 6, 9, 7, 3
9, 4, 7, 5, 8, 6, 3, 10, 1, 2